vo2,vco2,ve,va,vq_global,po2_art,so2_art,ph_art,pco2_art,mean_qt_1,mean_qt_2,log_sd_1,log_sd_2,qt_ratio,distance,solution,qt,shunt,fio2,hb,be,dead_space,po2_ven,pco2_ven
248.15357677255605,240.16928565989951,8.359306212117641,5.851514348482348,1.1703028696964695,89.0,96.5772068896045,7.38209607962534,42.91542676028051,0.9533589856102953,53.070614557002706,0.445,0.36,0.005,1.47522849495108,22.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
249.94350676716425,232.5590418961795,6.839470104783167,4.787629073348217,0.9575258146696435,91.0,96.77236881753322,7.3799449707920335,43.23176251506635,1.104203373105453,0.7574939229032762,0.365,0.3,0.69,1.2610268963258395,23.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
245.7893244144019,227.4942177087688,6.742032453814896,4.719422717670427,0.9438845435340856,87.0,96.31344694223425,7.379077020594283,43.38808773843026,0.971926158655965,0.27171877989802073,0.335,1.505,0.02,3.061770176851848,24.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
243.53326140565983,230.45312549642495,6.9103578323859365,4.8372504826701554,0.9674500965340312,86.0,96.19810568364736,7.380037224534604,43.2537535364661,0.9576119864159709,0.1754004000565293,0.45,1.615,0.02,4.069015087749965,25.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
253.4137619082875,243.0983491688405,7.168150579465143,5.0177054056256,1.0035410811251197,94.0,97.08219898286615,7.382251239480674,42.85747457104448,1.025251898089492,1.2052215395718282,0.34,0.31,0.005,4.159971677284594,26.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
250.1839281479153,242.93473567932472,7.277622975895371,5.094336083126759,1.0188672166253518,91.0,96.79518662500479,7.38252976977535,42.83351814494314,1.059270106957971,0.8944345465113168,0.46,0.38,0.635,1.5364504281547418,27.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
243.4725972878951,223.38931700181277,6.582824385891732,4.607977070124212,0.9215954140248425,86.0,96.17943197031643,7.378264048474871,43.527732610060966,0.9323756394071729,0.27091366794585825,0.425,1.2,0.02,4.027783073552972,28.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
248.66478406995665,235.74781918904506,7.002984354130381,4.902089047891266,0.9804178095782532,90.0,96.67535252085472,7.380869030793998,43.09688767466835,0.9647425249465181,0.1138987564199821,0.44,1.335,0.0,0.903112325331648,29.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
244.1359771896039,227.98290476917168,6.799164841722007,4.7594153892054045,0.951883077841081,86.0,96.19096848459391,7.379358376978932,43.35422158514228,0.8984246812919755,0.9241121908825243,0.48,0.545,0.54,4.051793400593884,30.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
245.18384558821947,209.26805703908826,6.00823471519351,4.205764300635456,0.8411528601270912,87.0,96.26717422110048,7.374560754507447,44.09493349811463,0.8416458866437535,1.1391497894708582,0.345,0.525,0.045,3.001501685667406,31.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
243.64515632276778,226.03392762597673,6.745187727384965,4.7216314091694755,0.9443262818338951,86.0,96.18634352777374,7.378919226180453,43.425703428862136,0.9132080716963432,0.7245161330588537,0.455,0.97,0.04,4.041016772004381,32.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
245.49260519893733,240.56556745165523,7.352401163527989,5.146680814469592,1.0293361628939186,87.0,96.34708721352787,7.382399766823077,42.8801345113453,0.9159219795582415,0.9879190005121861,0.41,0.635,0.8,3.2022021661162867,33.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
249.07227886545087,227.13499690981644,6.624217282844953,4.6369520979914665,0.9273904195982933,90.0,96.65514387813373,7.37866503751827,43.43369739369774,1.0879410705325183,0.7022896948122302,0.32,0.3,0.535,0.5663026063022585,34.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
246.3236342907013,240.20712391844725,7.2976098486485945,5.108326894054016,1.0216653788108032,88.0,96.46438126932661,7.3822257028169105,42.902512914020896,1.0328860946811667,0.7665387444222119,0.54,0.395,0.44,2.2813324842930953,35.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
